url,genre,language,bot_country,availabilityStarts,availabilityEnds,bot_system,offer_type
\/movies\/lone-survivor-uncut,WatchAction,en,US,2020-04-18T08:00:00+00:00,2020-07-17T07:59:18+00:00,TNT,TVE
\/movies\/meet-the-parents-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNT,TVE
\/movies\/identity-thief-uncut,WatchAction,en,US,2020-04-04T08:00:00+00:00,2020-05-05T07:59:59+00:00,TNT,TVE
\/movies\/i-now-pronounce-you-chuck-larry-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-07-01T07:59:59+00:00,TNT,TVE
\/movies\/run-all-night-0,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/dumb-dumber-theatrical,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-16T07:59:59+00:00,TNT,TVE
\/movies\/300-rise-of-an-empire,WatchAction,en,US,2020-04-15T08:00:00+00:00,2020-05-01T07:59:49+00:00,TNT,TVE
\/movies\/save-the-last-dance-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/sully-theatrical,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/the-dark-knight-rises-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/taken-2-theatrical,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-03T07:59:59+00:00,TNT,TVE
\/movies\/jonah-hex,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/kung-fu-panda-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/flight-theatrical,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:56+00:00,TNT,TVE
\/movies\/sex-and-the-city-2,WatchAction,en,US,2020-03-02T10:00:00+00:00,2020-05-31T07:59:59+00:00,TNT,TVE
\/movies\/transformers-theatrical,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/wild-wild-west-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/a-good-day-to-die-hard-theatrical,WatchAction,en,US,2020-03-29T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/knocked-up-uncut,WatchAction,en,US,2020-03-31T08:00:00+00:00,2020-05-01T07:59:20+00:00,TNT,TVE
\/movies\/angels-in-the-infield,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/the-dukes-of-hazzard-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-04-21T07:59:59+00:00,TNT,TVE
\/movies\/the-wolverine,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/were-the-millers,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/jurassic-park-iii-uncut,WatchAction,en,US,2020-02-16T10:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/movies\/norbit-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/the-lost-world-jurassic-park-uncut,WatchAction,en,US,2020-02-16T10:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/movies\/shooter-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-16T07:59:59+00:00,TNT,TVE
\/movies\/blades-of-glory-uncut,WatchAction,en,US,2020-03-01T10:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/the-imitation-game-uncut,WatchAction,en,US,2019-11-14T22:30:00+00:00,2020-10-29T07:59:59+00:00,TNT,TVE
\/movies\/instinct,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/into-the-storm,WatchAction,en,US,2020-04-14T08:00:00+00:00,2020-04-30T07:59:18+00:00,TNT,TVE
\/movies\/one-for-the-money-theatrical,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/evan-almighty-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-07-16T07:59:59+00:00,TNT,TVE
