videoId,type,tvRating,title,url,id,mediaID,seriesTitleId,seasonEpisode,subtitle,image16x9,durationFormatted,shortDescription,squeezetime,expireDateFormatted,duration,authRequired,videoType,entityType,created,teaserType,seriesReference,titleId,seriesId,description,shortDescriptionNoTags,descriptionNoTags,metaDescription,originalPremierDate,originalPremierDateFormatted,season,episode,canonicalUrl,releaseYear,episodeReference,movieReference,seriesPrimaryCollection,isPlayable,ads,tags,deeplinkTitle,deeplinkUri,startTime,endTime,availableOn,airsOn,expiresOn,newStatus,availabilityInfo,images,seriesLogo,seriesLogoImage,videoLogoImage,jsCanUseThisPlaylistItemAsIs
2084669,episode,TV-14,Adam Ruins Prison,\/shows\/adam-ruins-everything\/season-1\/episode-21\/adam-ruins-prison,29,a90872cd726ffebd118cf36ee637e296644d72bf,2059996,S1 | E21,Adam Ruins Prison,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare120-prisons-1920x1080_100.jpg,24 min,"When Emily gets tossed in the slammer, her cellmate reveals corporations make money off prison inmates while the system does nothing to reduce crime. Adam then sheds light on jail rehabilitation and solitary confinement.",10,Expires April 30,1472.838,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084671,episode,TV-14,Adam Ruins the Wild West,\/shows\/adam-ruins-everything\/season-1\/episode-22\/adam-ruins-the-wild-west,35,f44d63d2fd31d7d1e4fe7d5adce10c5c80f0e087,2059996,S1 | E22,Adam Ruins the Wild West,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare122-wild-west-1920x1080_100.jpg,24 min,"Adam reveals how prostitution, despite its reputation, actually helped settle the West. He then explains why the All-American Cowboy is a myth and the real western hero wasn't a person. It was air conditioning.",10,Expires April 30,1472.838,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084672,episode,TV-14,Adam Ruins Justice,\/shows\/adam-ruins-everything\/season-1\/episode-24\/adam-ruins-justice,15,54580ca1c5346fc17ccb8fac81821bd25a46bb3b,2059996,S1 | E24,Adam Ruins Justice,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare123-ao124-1920x1080_100.jpg,24 min,"After getting Emily out of prison, Adam and his sister Rhea take on the Justice system, showing that juries simply can't be impartial and the prosecution team is way better and well funded than your court appointed lawyer.",10,Expires April 30,1472.838,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084673,episode,TV-14,Adam Ruins Christmas,\/shows\/adam-ruins-everything\/season-1\/episode-25\/adam-ruins-christmas,28,e548c30759a63a0d82cca922bbb68d178f605391,2059996,S1 | E25,Adam Ruins Christmas,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare124-ao125-1920x1080_100.jpg,24 min,"Ho ho huh?! Adam teaches his sister that the real St. Nick story is a lot creepier than she thought, and modern Santa was created by commercialism only a century ago. Adam also reveals how gift-giving actually hurts the economy.",10,Expires April 30,1472.8381,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084674,episode,TV-14,Adam Ruins Going Green,\/shows\/adam-ruins-everything\/season-1\/episode-26\/adam-ruins-going-green,10,da6c7effd30d3fd034a244e6d1047cf28c042f63,2059996,S1 | E26,Adam Ruins Going Green,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare125-ao126-1920x1080_100.jpg,24 min,Adam meets a young dad on a personal mission to save the world and end climate change until Adam turns his world upside down. Find out why electric cars and green products don't make the impact you've been promised.,10,Expires April 30,1472.838,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124079,episode,TV-14,Adam Ruins Having a Baby,\/shows\/adam-ruins-everything\/season-2\/episode-1\/adam-ruins-having-a-baby,22,d2fafe217c264785e6a21b31f1052d04e3fbf474,2059996,S2 | E1,Adam Ruins Having a Baby,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare201-blog-baby-1920x1080_100.jpg,24 min,"Adam dispels the myth about getting pregnant after 35, delves into breastfeeding vs formula, and explores postpartum depression for women - and men.",10,Expires April 30,1472.838,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124080,episode,TV-PG,Adam Ruins Weight Loss,\/shows\/adam-ruins-everything\/season-2\/episode-2\/adam-ruins-weight-loss,41,36e63a0b8c64c1b705c7638e720f72c7dead3e77,2059996,S2 | E2,Adam Ruins Weight Loss,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare202-weight-loss-1920x1080_100.jpg,24 min,"Host Adam Conover illustrates all the reasons low-fat diets can actually make you fatter, and why counting calories is a waste of time.
",10,Expires April 30,1472.838,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124081,episode,TV-PG,Adam Ruins the Hospital,\/shows\/adam-ruins-everything\/season-2\/episode-3\/adam-ruins-the-hospital,57,63311574f137e87dced0cc8526cf20eb63d48733,2059996,S2 | E3,Adam Ruins the Hospital,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare203-blog-hospital-1920x1080_100.jpg,24 min,"Adam Conover explains that inflated hospital costs have created a system that's unaffordable and unfair. Plus, the reckless prescription of antibiotics is making them worthless, and you might not need a mammogram. ",10,Expires April 30,1472.838,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124082,episode,TV-14,Adam Ruins Dating,\/node\/37,37,9c66b3682d29d8f4fc52ab571aeaeccc8165cb2f,2059996,S2 | E4,Adam Ruins Dating,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare204-full-ep-dating-1920x1080_0_100.jpg,24 min,"Adam swipes right on knowledge by exposing the flaws in dating sites. Plus, alpha males (and wolves) don't exist, and personality tests are a failure.
",10,Expires April 30,1472.838,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124083,episode,TV-PG,Adam Ruins Art,\/shows\/adam-ruins-everything\/season-2\/episode-5\/adam-ruins-art,23,96f3e5efde6d30e7659c3fe9c0379f0c003e0b04,2059996,S2 | E5,Adam Ruins Art,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare205-art-1920x1080v2_100.jpg,24 min,"Adam shows why popular art is revered, regardless of merit. He also exposes the masters as copycats and reveals the art market to be a moneymaking scheme.",10,Expires April 30,1472.838,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
