url,genre,language,bot_country,availabilityStarts,availabilityEnds,bot_system,offer_type
\/shows\/greatest-ever\/season-2\/episode-9\/greatest-style-ever,WatchAction,en,US,2020-03-09T11:01:00+00:00,2020-12-24T09:59:59+00:00,TBS,TVE
\/shows\/talk-show-the-game-show\/season-1\/episode-16\/hot-gossip,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/those-who-cant\/season-2\/episode-5\/white-guilt-trip,WatchAction,en,US,2019-07-29T11:00:00+00:00,2020-10-05T11:00:59+00:00,TBS,TVE
\/shows\/the-carbonaro-effect-inside-carbonaro\/season-1\/episode-38\/the-doughy-parts,WatchAction,en,US,2020-03-15T11:01:00+00:00,2020-12-24T09:59:59+00:00,TBS,TVE
\/shows\/almost-genius\/season-1\/episode-12\/sports-edition,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/hack-my-life-inside-hacks\/season-1\/episode-2\/peeling-back-the-hacks,WatchAction,en,US,2020-04-06T11:01:00+00:00,2020-05-01T07:59:06+00:00,TBS,TVE
\/shows\/comedy-knockout\/season-3\/episode-10\/i-hate-myself,WatchAction,en,US,2020-03-27T08:00:00+00:00,2020-04-24T07:59:59+00:00,TBS,TVE
\/shows\/hack-my-life\/season-3\/episode-16\/saved-by-the-hacks,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/hot-ones-the-game-show\/season-1\/episode-4\/a-hot-mess,WatchAction,en,US,2020-03-11T06:00:00+00:00,2021-01-06T09:59:00+00:00,TBS,TVE
\/shows\/upscale-with-prentice-penny\/season-1\/episode-10\/summer,WatchAction,en,US,2020-02-02T13:01:00+00:00,2020-06-26T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-8\/episode-15\/sucks-for-you,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/laff-mobbs-laff-tracks\/season-2\/episode-5\/orlando-leyba-headlines,WatchAction,en,US,2019-12-07T12:30:00+00:00,2020-04-27T11:00:59+00:00,TBS,TVE
\/shows\/the-chris-gethard-show\/season-3\/episode-16\/screw-it-show-us-your-pets,WatchAction,en,US,2018-08-16T11:00:00+00:00,2020-09-20T11:00:59+00:00,TBS,TVE
\/shows\/the-carbonaro-effect\/season-4\/episode-14\/fright-at-the-museum,WatchAction,en,US,2020-02-08T10:00:00+00:00,2020-05-01T07:59:54+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-7\/episode-1\/the-marathon-man,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/the-carbonaro-effect-inside-carbonaro\/season-1\/episode-15\/the-lizard-law,WatchAction,en,US,2020-03-15T11:01:00+00:00,2020-12-24T09:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-3\/episode-6\/toasted,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-2\/episode-28\/trouble-shoot,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-7\/episode-27\/the-jokers-games,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/you-can-do-better\/season-1\/episode-22\/dealing-with-your-st,WatchAction,en,US,2019-03-11T11:00:00+00:00,2020-06-15T11:00:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-6\/episode-25\/dover-and-out,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/those-who-cant\/season-3\/episode-4\/a-smoot-holiday-coincidence-explicit,WatchAction,en,US,2019-05-14T11:00:00+00:00,2020-10-05T11:00:59+00:00,TBS,TVE
\/shows\/you-can-do-better\/season-1\/episode-6\/getting-healthy,WatchAction,en,US,2019-03-11T11:00:00+00:00,2020-06-15T11:00:59+00:00,TBS,TVE
\/shows\/adam-ruins-everything\/season-1\/episode-5\/adam-ruins-restaurants,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
