maturity_rating,episodes_title,url,viewable_runtime,is_movie,provider_original,series_source_id,source_id,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,episode_url,series_title,series_url,episode_number,season_number
TV-PG,Adam Ruins What We Learned in School,\/shows\/adam-ruins-everything\/season-2\/episode-6\/adam-ruins-what-we-learned-in-school,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2124084,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-6\/adam-ruins-what-we-learned-in-school,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,6,2
TV-14,Adam Ruins College,\/shows\/adam-ruins-everything\/season-2\/episode-7\/adam-ruins-college,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2124085,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-7\/adam-ruins-college,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,7,2
TV-PG,Emily Ruins Adam,\/shows\/adam-ruins-everything\/season-2\/episode-8\/emily-ruins-adam,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2124086,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-8\/emily-ruins-adam,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,8,2
TV-14,Adam Ruins His Vacation,\/shows\/adam-ruins-everything\/season-2\/episode-9\/adam-ruins-his-vacation,1472.8381,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2124087,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-9\/adam-ruins-his-vacation,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,9,2
TV-14,Adam Ruins the Suburbs,\/shows\/adam-ruins-everything\/season-2\/episode-10\/adam-ruins-the-suburbs,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2124088,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-10\/adam-ruins-the-suburbs,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,10,2
TV-14,Adam Ruins The Economy,\/shows\/adam-ruins-everything\/season-2\/episode-11\/adam-ruins-the-economy,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2124089,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-11\/adam-ruins-the-economy,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,11,2
TV-14,Adam Ruins Conspiracy Theories,\/shows\/adam-ruins-everything\/season-2\/episode-12\/adam-ruins-conspiracy-theories,1472.8381,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2124090,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-12\/adam-ruins-conspiracy-theories,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,12,2
TV-14,Adam Ruins Spa Day,\/shows\/adam-ruins-everything\/season-2\/episode-13\/adam-ruins-spa-day,1472.8381,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2124091,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-13\/adam-ruins-spa-day,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,13,2
TV-PG,Adam Ruins Halloween,\/shows\/adam-ruins-everything\/season-2\/episode-14\/adam-ruins-halloween,1472.8379,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2124092,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-14\/adam-ruins-halloween,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,14,2
TV-14,Adam Ruins Science,\/shows\/adam-ruins-everything\/season-2\/episode-15\/adam-ruins-science,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2124093,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-15\/adam-ruins-science,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,15,2
TV-14,Adam Ruins the Future,\/shows\/adam-ruins-everything\/season-2\/episode-16\/adam-ruins-the-future,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2124094,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-16\/adam-ruins-the-future,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,16,2
TV-PG,Give Me Liberty or Give Me Truth,\/shows\/adam-ruins-everything\/season-2\/episode-17\/give-me-liberty-or-give-me-truth,1472.9047,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2161225,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-17\/give-me-liberty-or-give-me-truth,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,17,2
TV-14,The First Factsgiving,\/shows\/adam-ruins-everything\/season-2\/episode-18\/the-first-factsgiving,1472.2041,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2161226,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-18\/the-first-factsgiving,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,18,2
TV-14,Mutually Assured Ruination,\/shows\/adam-ruins-everything\/season-2\/episode-19\/mutually-assured-ruination,1473.9057,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2161227,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-19\/mutually-assured-ruination,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,19,2
