maturity_rating,episodes_title,url,viewable_runtime,is_movie,provider_original,series_source_id,source_id,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,episode_url,series_title,series_url,episode_number,season_number
TV-14,Shaq of All Trades,\/shows\/shaq-life\/season-1\/episode-2\/shaq-of-all-trades,1268.167,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2020\/04\/ShaqLife-Logo-900x360.png,2197152,2197154,en,US,2020-04-10T05:30:00+00:00,2020-06-05T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/shaq-life\/season-1\/episode-2\/shaq-of-all-trades,Shaq Life,http:\/\/www.tntdrama.com\/shaq-life,2,1
TV-14,Shaq vs. Shaquille,\/shows\/shaq-life\/season-1\/episode-3\/shaq-vs-shaquille,1268.0334,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2020\/04\/ShaqLife-Logo-900x360.png,2197152,2197155,en,US,2020-04-17T05:00:00+00:00,2020-06-05T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/shaq-life\/season-1\/episode-3\/shaq-vs-shaquille,Shaq Life,http:\/\/www.tntdrama.com\/shaq-life,3,1
TV-14,Shaq Your Age,\/shows\/shaq-life\/season-1\/episode-4\/shaq-your-age,1268.1669,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2020\/04\/ShaqLife-Logo-900x360.png,2197152,2197156,en,US,2020-04-17T05:30:00+00:00,2020-06-05T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/shaq-life\/season-1\/episode-4\/shaq-your-age,Shaq Life,http:\/\/www.tntdrama.com\/shaq-life,4,1
TV-14,Shaq vs. Europe Part 1,\/shows\/shaq-life\/season-1\/episode-5\/shaq-vs-europe-part-1,1268.901,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2020\/04\/ShaqLife-Logo-900x360.png,2197152,2197157,en,US,2020-04-24T05:00:00+00:00,2020-06-05T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/shaq-life\/season-1\/episode-5\/shaq-vs-europe-part-1,Shaq Life,http:\/\/www.tntdrama.com\/shaq-life,5,1
TV-14,Shaq vs. Europe Part 2,\/shows\/shaq-life\/season-1\/episode-6\/shaq-vs-europe-part-2,1268.2336,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2020\/04\/ShaqLife-Logo-900x360.png,2197152,2197158,en,US,2020-04-24T05:30:00+00:00,2020-06-05T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/shaq-life\/season-1\/episode-6\/shaq-vs-europe-part-2,Shaq Life,http:\/\/www.tntdrama.com\/shaq-life,6,1
TV-14,Shaq Daddy,\/shows\/shaq-life\/season-1\/episode-7\/shaq-daddy,1268.267,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2020\/04\/ShaqLife-Logo-900x360.png,2197152,2197159,en,US,2020-05-01T05:00:00+00:00,2020-06-05T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/shaq-life\/season-1\/episode-7\/shaq-daddy,Shaq Life,http:\/\/www.tntdrama.com\/shaq-life,7,1
TV-14,Shaq's Shocking New Roommates,\/shows\/shaq-life\/season-1\/episode-8\/shaqs-shocking-new-roommates,1268.1002,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2020\/04\/ShaqLife-Logo-900x360.png,2197152,2197160,en,US,2020-05-01T05:30:00+00:00,2020-06-05T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/shaq-life\/season-1\/episode-8\/shaqs-shocking-new-roommates,Shaq Life,http:\/\/www.tntdrama.com\/shaq-life,8,1
TV-14,Shaq's Big Score,\/shows\/shaq-life\/season-1\/episode-9\/shaqs-big-score,2535.0992,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2020\/04\/ShaqLife-Logo-900x360.png,2197152,2197161,en,US,2020-05-08T05:00:00+00:00,2020-06-05T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/shaq-life\/season-1\/episode-9\/shaqs-big-score,Shaq Life,http:\/\/www.tntdrama.com\/shaq-life,9,1
NaN,"Come on Lance, stop!",\/shows\/all-elite-wrestling-dynamite\/clips\/come-on-lance-stop,13,clip,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2019\/11\/AEW-Dynamite-Logo%2BTNTOriginal-900x360%20%281%29.png,2200753,tnt-clip-18927,en,US,2020-05-08T03:27:00+00:00,2040-01-02T05:00:00+00:00,TNTDRAMA,FREE,http:\/\/www.tntdrama.com\/shows\/all-elite-wrestling-dynamite\/clips\/come-on-lance-stop,All Elite Wrestling: Dynamite,http:\/\/www.tntdrama.com\/allelitewrestling,0,0
,Podcast Guest: The Young Bucks,\/shows\/all-elite-wrestling-dynamite\/clips\/podcast-guest-the-young-bucks,2949,clip,,2200753,tnt-clip-18420,,,,,,,,,,,
