maturity_rating,program_title,url,viewable_runtime,is_movie,source_id,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,program_url
PG-13,One for the Money [Uncut],\/movies\/one-for-the-money-theatrical,5479.7409,movie,2189500,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/one-for-the-money-theatrical
R,Sex and the City 2,\/movies\/sex-and-the-city-2,7862.8216,movie,778055,en,US,2020-03-02T10:00:00+00:00,2020-05-31T07:59:32+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/sex-and-the-city-2
R,Game Night [Uncut],\/movies\/game-night-uncut,6013.5742,movie,2196396,en,US,2020-04-04T08:00:00+00:00,2020-05-05T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/game-night-uncut
R,A Good Day to Die Hard [Uncut],\/movies\/a-good-day-to-die-hard-uncut,5871.5656,movie,2165442,en,US,2020-03-29T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/a-good-day-to-die-hard-uncut
R,300: Rise of an Empire,\/movies\/300-rise-of-an-empire,5165.7272,movie,961539,en,US,2020-04-15T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/300-rise-of-an-empire
PG,Angels in the Outfield,\/movies\/angels-in-the-outfield,5447.7757,movie,18791,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/angels-in-the-outfield
PG,How to Train Your Dragon [Uncut],\/movies\/how-to-train-your-dragon-uncut,5872.9336,movie,2216698,en,US,2020-04-01T08:00:00+00:00,2020-05-16T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/how-to-train-your-dragon-uncut
R,Elysium,\/movies\/elysium-theatrical,6583.3768,movie,2187617,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/elysium-theatrical
R,Flight [Uncut],\/movies\/flight-uncut,8331.2896,movie,2167029,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/flight-uncut
R,Ransom,\/movies\/ransom,6703.0964,movie,300927,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/ransom
R,Ted [Uncut],\/movies\/ted-uncut,6372.1325,movie,2193458,en,US,2020-02-15T10:00:00+00:00,2020-05-15T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/ted-uncut
R,Focus [Uncut],\/movies\/focus-uncut,6290.7178,movie,2160765,en,US,2020-04-10T08:00:00+00:00,2020-05-11T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/focus-uncut
