url,genre,language,bot_country,availabilityStarts,availabilityEnds,bot_system,offer_type
\/movies\/disturbia-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/47-ronin-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/kung-fu-panda-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/riddick-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-06-30T07:59:59+00:00,TBS,TVE
\/movies\/i-now-pronounce-you-chuck-larry-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-07-01T07:59:59+00:00,TBS,TVE
\/movies\/shut-in-theatrical,WatchAction,en,US,2019-12-31T10:00:00+00:00,2021-01-01T09:59:59+00:00,TBS,TVE
\/movies\/True-story-theatrical,WatchAction,en,US,2020-02-01T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/wheres-the-money-uncut,WatchAction,en,US,2020-03-22T08:00:00+00:00,2020-06-22T07:59:15+00:00,TBS,TVE
\/movies\/taken-2-theatrical,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-03T07:59:59+00:00,TBS,TVE
\/movies\/ted-uncut,WatchAction,en,US,2020-02-15T10:00:00+00:00,2020-05-15T07:59:59+00:00,TBS,TVE
\/movies\/blades-of-glory-uncut,WatchAction,en,US,2020-03-01T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/stronger-uncut,WatchAction,en,US,2020-03-15T08:00:00+00:00,2020-05-16T06:59:59+00:00,TBS,TVE
\/movies\/run-all-night-theatrical,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/walking-tall-uncut,WatchAction,en,US,2020-03-01T10:00:00+00:00,2020-05-13T07:59:59+00:00,TBS,TVE
\/movies\/shooter-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-16T07:59:00+00:00,TBS,TVE
\/movies\/hercules-the-thracian-wars-uncut,WatchAction,en,US,2020-01-21T10:00:00+00:00,2020-04-20T07:59:30+00:00,TBS,TVE
\/movies\/instinct,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/thor-ragnarok,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/life-as-we-know-it,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/jonah-hex,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/jurassic-park-iii-uncut,WatchAction,en,US,2020-02-16T10:00:00+00:00,2020-04-24T07:59:59+00:00,TBS,TVE
\/movies\/the-wolverine,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
