maturity_rating,program_title,url,viewable_runtime,is_movie,source_id,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,program_url
PG,Star Wars: Attack of the Clones,\/movies\/star-wars-attack-of-the-clones,8232.858,movie,431193,en,US,2020-05-04T08:00:00+00:00,2020-06-03T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/star-wars-attack-of-the-clones
R,The Wedding Ringer,\/movies\/the-wedding-ringer-theatrical,6113.4073,movie,2192448,en,US,2020-04-12T08:00:00+00:00,2021-04-12T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-wedding-ringer-theatrical
PG-13,My Big Fat Greek Wedding 2,\/movies\/my-big-fat-greek-wedding-2,4589.8519,movie,2061297,en,US,2020-05-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/my-big-fat-greek-wedding-2
PG-13,50 First Dates,\/movies\/50-first-dates-uncut,5954.7488,movie,2193173,en,US,2020-05-02T08:00:00+00:00,2020-06-01T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/50-first-dates-uncut
R,The Campaign,\/movies\/the-campaign,4590.6862,movie,869313,en,US,2020-05-01T08:00:00+00:00,2020-06-13T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-campaign
PG-13,Life As We Know It,\/movies\/life-as-we-know-it,6127.3212,movie,778489,en,US,2020-05-06T08:00:00+00:00,2020-06-06T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/life-as-we-know-it
R,2 Guns,\/movies\/2-guns-theatrical,6557.4843,movie,2186635,en,US,2020-05-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/2-guns-theatrical
PG-13,Paper Towns,\/movies\/paper-towns-theatrical,6551.4116,movie,2181306,en,US,2020-05-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/paper-towns-theatrical
PG-13,Eagle Eye,\/movies\/eagle-eye,6488.5153,movie,681616,en,US,2020-05-06T06:28:00+00:00,2020-05-13T06:27:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/eagle-eye
PG,Shrek 2,\/movies\/shrek-2-theatrical,5545.44,movie,2187624,en,US,2020-05-01T08:00:00+00:00,2020-07-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/shrek-2-theatrical
PG-13,Non-Stop,\/movies\/non-stop-uncut,6400.9613,movie,2189790,en,US,2020-04-17T08:00:00+00:00,2020-06-16T07:59:27+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/non-stop-uncut
PG,Star Wars: The Empire Strikes Back,\/movies\/the-empire-strikes-back,7401.2606,movie,74051,en,US,2020-05-04T08:00:00+00:00,2020-06-03T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-empire-strikes-back
PG-13,Rogue One: A Star Wars Story,\/movies\/rogue-one-a-star-wars-story-theatrical,8055.7477,movie,2167033,en,US,2020-05-04T08:00:00+00:00,2020-06-03T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/rogue-one-a-star-wars-story-theatrical
PG-13,The Legend of Tarzan,\/movies\/the-legend-of-tarzan-theatrical,6607.4342,movie,2162438,en,US,2020-05-01T08:00:00+00:00,2020-05-31T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-legend-of-tarzan-theatrical
PG-13,The Dukes of Hazzard,\/movies\/the-dukes-of-hazzard-uncut,6247.9751,movie,2198245,en,US,2020-04-25T08:00:00+00:00,2020-05-21T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-dukes-of-hazzard-uncut
R,Prometheus,\/movies\/prometheus-theatrical,7431.5907,movie,2165449,en,US,2020-05-01T08:00:00+00:00,2020-06-17T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/prometheus-theatrical
PG,Star Wars: Return of the Jedi,\/movies\/return-of-the-jedi,7757.2161,movie,88074,en,US,2020-05-04T08:00:00+00:00,2020-06-03T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/return-of-the-jedi
TV-14,Star Wars: The Force Awakens,\/movies\/star-wars-the-force-awakens-theatrical,8289.4145,movie,2156961,en,US,2020-05-04T08:00:00+00:00,2020-06-03T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/star-wars-the-force-awakens-theatrical
PG-13,Source Code,\/movies\/source-code-uncut,5601.496,movie,2189514,en,US,2020-05-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/source-code-uncut
R,Riddick,\/movies\/riddick-uncut,7126.9531,movie,2186636,en,US,2020-04-01T08:00:00+00:00,2020-06-30T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/riddick-uncut
PG-13,Guardians of the Galaxy Vol. 2,\/movies\/guardians-of-the-galaxy-vol-2,7267.7603,movie,2041864,en,US,2020-05-01T08:00:00+00:00,2020-06-04T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/guardians-of-the-galaxy-vol-2
R,Ted,\/movies\/ted-uncut,6372.1325,movie,2193458,en,US,2020-02-15T10:00:00+00:00,2020-05-14T08:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/ted-uncut
PG,The Lego Ninjago Movie,\/movies\/the-lego-ninjago-movie-uncut,6087.7151,movie,2191212,en,US,2020-05-01T08:00:00+00:00,2020-05-31T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-lego-ninjago-movie-uncut
PG-13,Hellboy II: The Golden Army,\/movies\/hellboy-ii-the-golden-army-theatrical,7179.2722,movie,2197147,en,US,2020-03-02T10:00:00+00:00,2020-06-16T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/hellboy-ii-the-golden-army-theatrical
PG-13,Jack Reacher,\/movies\/jack-reacher,7262.4885,movie,873168,en,US,2020-05-02T09:11:00+00:00,2020-05-09T09:10:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/jack-reacher
PG-13,The Magnificent Seven,\/movies\/the-magnificent-seven-uncut,7981.1065,movie,2211226,en,US,2020-05-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-magnificent-seven-uncut
PG,Alice through the Looking Glass,\/movies\/alice-through-the-looking-glass-uncut,6772.5992,movie,2161134,en,US,2020-05-01T08:00:00+00:00,2020-05-31T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/alice-through-the-looking-glass-uncut
R,Lone Survivor,\/movies\/lone-survivor-uncut,7280.3065,movie,2194463,en,US,2020-04-18T08:00:00+00:00,2020-07-17T07:59:18+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/lone-survivor-uncut
G,The Wizard Of Oz,\/movies\/the-wizard-of-oz,6103.8978,movie,852,en,US,2020-05-01T08:00:00+00:00,2020-05-31T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-wizard-of-oz
PG,Race to Witch Mountain,\/movies\/race-to-witch-mountain,5166.161,movie,736305,en,US,2020-04-09T08:00:00+00:00,2020-05-10T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/race-to-witch-mountain
