bot_system,bot_version,bot_country,capture_date,is_movie,offer_type,series_title,season_number,episode_number,program_title,provider_release_date,provider_cease_date,viewable_runtime,maturity_rating,original_language,series_url,program_url,series_source_id,source_id,provider_original
tbs,1.0.0,US,05/08/2020,0,TVE,2 Broke Girls,5,15,And the Great Escape,05/05/2020,05/12/2020,1230,TV-14,en,http://www.tbs.com/shows/2-broke-girls,http://www.tbs.com/shows/2-broke-girls/season-5/episode-15/and-the-great-escape,861915,2062448,0
tbs,1.0.0,US,05/08/2020,0,TVE,2 Broke Girls,5,16,And the Pity Party Bus,05/05/2020,05/12/2020,1232,TV-14,en,http://www.tbs.com/shows/2-broke-girls,http://www.tbs.com/shows/2-broke-girls/season-5/episode-16/and-the-pity-party-bus,861915,2062449,0
tbs,1.0.0,US,05/08/2020,0,TVE,2 Broke Girls,5,18,And the Loophole,05/06/2020,05/13/2020,1232,TV-14,en,http://www.tbs.com/shows/2-broke-girls,http://www.tbs.com/shows/2-broke-girls/season-5/episode-18/and-the-loophole,861915,2062451,0
tbs,1.0.0,US,05/08/2020,0,TVE,2 Broke Girls,5,19,And the Attack of the Killer Apartment,05/06/2020,05/13/2020,1232,TV-14,en,http://www.tbs.com/shows/2-broke-girls,http://www.tbs.com/shows/2-broke-girls/season-5/episode-19/and-the-attack-of-the-killer-apartment,861915,2062452,0
tbs,1.0.0,US,05/08/2020,0,TVE,2 Broke Girls,5,21,And the Ten Inches,05/07/2020,05/14/2020,1230,TV-14,en,http://www.tbs.com/shows/2-broke-girls,http://www.tbs.com/shows/2-broke-girls/season-5/episode-21/and-the-ten-inches,861915,2062454,0
tbs,1.0.0,US,05/08/2020,0,TVE,2 Broke Girls,5,22,And the Big Gamble,05/07/2020,05/14/2020,1232,TV-14,en,http://www.tbs.com/shows/2-broke-girls,http://www.tbs.com/shows/2-broke-girls/season-5/episode-22/and-the-big-gamble,861915,2062455,0
tbs,1.0.0,US,05/08/2020,0,TVE,2 Broke Girls,6,1,And the Two Openings: Part 1,05/07/2020,05/14/2020,1232,TV-14,en,http://www.tbs.com/shows/2-broke-girls,http://www.tbs.com/shows/2-broke-girls/season-6/episode-1/and-the-two-openings-part-1,861915,2092447,0
tbs,1.0.0,US,05/08/2020,0,TVE,Search Party,1,1,The Mysterious Disappearance of The Girl No One Knew (Uncut),05/01/2020,12/11/2020,1392,TV-MA,en,http://www.tbs.com/shows/search-party,http://www.tbs.com/shows/search-party/season-1/episode-1/the-mysterious-disappearance-of-the-girl-no-one-knew-uncut,2074707,2093138,1
tbs,1.0.0,US,05/08/2020,0,TVE,Search Party,1,2,The Woman Who Knew Too Much (Uncut),05/01/2020,12/11/2020,1342,TV-MA,en,http://www.tbs.com/shows/search-party,http://www.tbs.com/shows/search-party/season-1/episode-2/the-woman-who-knew-too-much-uncut,2074707,2093139,1
tbs,1.0.0,US,05/08/2020,0,TVE,Search Party,1,3,The Night of One Hundred Candles (Uncut),05/01/2020,12/11/2020,1393,TV-MA,en,http://www.tbs.com/shows/search-party,http://www.tbs.com/shows/search-party/season-1/episode-3/the-night-of-one-hundred-candles-uncut,2074707,2093140,1
