bot_system,bot_version,bot_country,capture_date,is_movie,offer_type,series_title,season_number,episode_number,program_title,provider_release_date,provider_cease_date,viewable_runtime,maturity_rating,original_language,series_url,program_url,series_source_id,source_id,is_original
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Lone Survivor [Uncut],04/18/2020,07/17/2020,7280,R,en,,http://www.tntdrama.com/movies/lone-survivor-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Angels in the Endzone,04/01/2020,05/01/2020,5166,TV-PG,en,,http://www.tntdrama.com/movies/angels-in-the-endzone,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Angels in the Outfield,04/01/2020,05/01/2020,5447,PG,en,,http://www.tntdrama.com/movies/angels-in-the-outfield,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Evan Almighty [Uncut],04/01/2020,07/16/2020,5737,PG,en,,http://www.tntdrama.com/movies/evan-almighty-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Identity Thief [Uncut],04/04/2020,05/05/2020,6691,R,en,,http://www.tntdrama.com/movies/identity-thief-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,The Break-Up [Uncut],04/04/2020,05/01/2020,6393,PG-13,en,,http://www.tntdrama.com/movies/the-break-up-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,A Good Day to Die Hard [Uncut],03/29/2020,05/01/2020,5871,R,en,,http://www.tntdrama.com/movies/a-good-day-to-die-hard-theatrical,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,The Wolverine,04/01/2020,05/01/2020,6487,PG-13,en,,http://www.tntdrama.com/movies/the-wolverine,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Game Night [Uncut],04/04/2020,05/05/2020,6013,R,en,,http://www.tntdrama.com/movies/game-night-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Inception,04/01/2020,07/01/2020,8824,PG-13,en,,http://www.tntdrama.com/movies/inception,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,It,04/01/2020,05/01/2020,7862,R,en,,http://www.tntdrama.com/movies/it,,,
