url,genre,language,bot_country,availabilityStarts,availabilityEnds,bot_system,offer_type
\/shows\/american-dad\/season-14\/episode-7\/shark,WatchAction,en,US,2020-03-05T10:00:00+00:00,2020-05-21T07:59:59+00:00,TBS,TVE
\/shows\/miracle-workers-dark-ages\/season-2\/episode-10\/moving-out-part-2,WatchAction,en,US,2020-04-01T06:30:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/2-broke-girls\/season-3\/episode-5\/and-the-cronuts,WatchAction,en,US,2020-04-15T12:30:00+00:00,2020-04-22T12:29:00+00:00,TBS,TVE
\/shows\/wrecked\/season-1\/episode-6\/the-phantom,WatchAction,en,US,2020-03-12T22:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/brooklyn-nine-nine\/season-4\/episode-5\/halloween-iv,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TBS,TVE
\/shows\/final-space\/season-2\/episode-10\/the-lost-spy,WatchAction,en,US,2020-04-08T08:00:00+00:00,2020-04-22T07:59:59+00:00,TBS,TVE
\/shows\/conan\/season-7\/episode-129\/conan-without-borders-israel,WatchAction,en,US,2020-03-03T23:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/wrecked\/season-2\/episode-10\/nerd-speak,WatchAction,en,US,2020-03-12T22:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/search-party\/season-1\/episode-7\/the-riddle-within-the-trash-uncut,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/search-party\/season-1\/episode-10\/the-house-of-uncanny-truths-uncut,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/wrecked\/season-3\/episode-1\/bush-man,WatchAction,en,US,2020-03-12T20:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/miracle-workers-dark-ages\/season-2\/episode-3\/road-trip,WatchAction,en,US,2020-02-12T08:30:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/everybody-loves-raymond\/season-8\/episode-3\/home-from-school,WatchAction,en,US,2020-04-19T16:00:00+00:00,2020-04-26T15:59:00+00:00,TBS,TVE
\/shows\/american-dad\/season-14\/episode-14\/hamerican-dad,WatchAction,en,US,2020-03-05T10:00:00+00:00,2020-05-21T07:59:59+00:00,TBS,TVE
\/shows\/family-guy\/season-13\/episode-14\/jolo,WatchAction,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE
\/shows\/wrecked\/season-2\/episode-3\/caiman,WatchAction,en,US,2020-03-12T22:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/family-guy\/season-11\/episode-15\/turban-cowboy,WatchAction,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE
\/shows\/family-guy\/season-11\/episode-19\/save-the-clam,WatchAction,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE
\/shows\/wrecked\/season-2\/episode-9\/the-setup,WatchAction,en,US,2020-03-12T22:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/2-broke-girls\/season-3\/episode-14\/and-the-dumpster-sex,WatchAction,en,US,2020-04-17T11:30:00+00:00,2020-04-24T11:29:00+00:00,TBS,TVE
