maturity_rating,episodes_title,url,viewable_runtime,is_movie,provider_original,series_source_id,source_id,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,episode_url,series_title,series_url,episode_number,season_number
TV-MA,"April 15, 2020",\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-8\/april-15-2020,1277.1425,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Full-Frontal_900x360_TBS-Original-Logo-Sep.png,2061452,2197192,en,US,2020-04-16T13:00:00+00:00,2020-06-17T07:59:00+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-8\/april-15-2020,Full Frontal with Samantha Bee,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee,8,5
TV-MA,Seesaw,\/shows\/tarantula\/season-1\/episode-1\/seesaw,1267.0992,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Tarantula_900x360_TBS-Original-Logo-Sep.png,2128913,2128914,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/tarantula\/season-1\/episode-1\/seesaw,Tarantula,http:\/\/www.tbs.com\/shows\/tarantula,1,1
TV-MA,Mushroom Valley,\/shows\/tarantula\/season-1\/episode-2\/mushroom-valley,1267.6664,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Tarantula_900x360_TBS-Original-Logo-Sep.png,2128913,2128916,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/tarantula\/season-1\/episode-2\/mushroom-valley,Tarantula,http:\/\/www.tbs.com\/shows\/tarantula,2,1
TV-MA,Toast of the Town,\/shows\/tarantula\/season-1\/episode-3\/toast-of-the-town,1267.2326,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Tarantula_900x360_TBS-Original-Logo-Sep.png,2128913,2128917,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/tarantula\/season-1\/episode-3\/toast-of-the-town,Tarantula,http:\/\/www.tbs.com\/shows\/tarantula,3,1
TV-MA,One Weird Mama,\/shows\/tarantula\/season-1\/episode-4\/one-weird-mama,1267.1325,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Tarantula_900x360_TBS-Original-Logo-Sep.png,2128913,2128918,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/tarantula\/season-1\/episode-4\/one-weird-mama,Tarantula,http:\/\/www.tbs.com\/shows\/tarantula,4,1
TV-MA,Macaroni Salad,\/shows\/tarantula\/season-1\/episode-5\/macaroni-salad,1269.4348,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Tarantula_900x360_TBS-Original-Logo-Sep.png,2128913,2128915,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/tarantula\/season-1\/episode-5\/macaroni-salad,Tarantula,http:\/\/www.tbs.com\/shows\/tarantula,5,1
TV-MA,The Shade,\/shows\/tarantula\/season-1\/episode-6\/the-shade,1268.4339,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Tarantula_900x360_TBS-Original-Logo-Sep.png,2128913,2128922,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/tarantula\/season-1\/episode-6\/the-shade,Tarantula,http:\/\/www.tbs.com\/shows\/tarantula,6,1
TV-MA,Pajattery,\/shows\/tarantula\/season-1\/episode-7\/pajattery,1268.1669,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Tarantula_900x360_TBS-Original-Logo-Sep.png,2128913,2128920,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/tarantula\/season-1\/episode-7\/pajattery,Tarantula,http:\/\/www.tbs.com\/shows\/tarantula,7,1
TV-MA,Frog Flog,\/shows\/tarantula\/season-1\/episode-8\/frog-flog,1268.2669,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Tarantula_900x360_TBS-Original-Logo-Sep.png,2128913,2128921,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/tarantula\/season-1\/episode-8\/frog-flog,Tarantula,http:\/\/www.tbs.com\/shows\/tarantula,8,1
TV-MA,Shabzinzo,\/shows\/tarantula\/season-1\/episode-9\/shabzinzo,1267.3327,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Tarantula_900x360_TBS-Original-Logo-Sep.png,2128913,2128919,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/tarantula\/season-1\/episode-9\/shabzinzo,Tarantula,http:\/\/www.tbs.com\/shows\/tarantula,9,1
